流程,步骤序号,步骤名,描述,NPC,位置
定制产品销售流程,1,客户询单,客户咨询定制产品需求,销售员,销售办公室
定制产品销售流程,2,填写销售订单,录入客户需求和产品规格,销售员,销售办公室
定制产品销售流程,3,审核销售订单,销售总监审核订单内容,销售总监,销售办公室
定制产品销售流程,4,填写BOM单,技术部根据订单生成物料清单,技术员,计划物控中心
定制产品销售流程,5,查看BOM单,财务部查看物料清单,财务主管,财务部
定制产品销售流程,6,计算成本并确认价格,填写销售报价单,财务主管,财务部
定制产品销售流程,7,查看报价单,销售员查看财务核算的报价,销售员,销售办公室
定制产品销售流程,8,报价给客户,将报价单发送给客户,销售员,销售办公室
定制产品销售流程,9,客户确认,客户确认报价并签订合同,销售员,销售办公室
定制产品销售流程,10,提交销售订单给PMC,PMC可查看销售订单,销售员,计划物控中心
定制产品销售流程,11,选择后续流程,请选择要继续的流程分支 [1]生产流程 [2]采购流程,系统,主界面
定制产品生产流程,1,PMC查看销售订单,PMC查看销售订单内容，了解定制产品需求,PMC主管,计划物控中心
定制产品生产流程,2,制定一周生产计划,制定一周生产计划；填：一周生产计划；点：提交,PMC主管,计划物控中心
定制产品生产流程,3,PMC填写每日排产单,填写每日排产单；点：提交。自动下推给仓库仓管员（生产用料清单）和车间主管（生产工单）,PMC主管,计划物控中心
定制产品生产流程,4,仓管员发料到备料区,仓管员按生产用料清单发料到备料区（位于生产区）,仓管员A,备料区
定制产品生产流程,5,1车间主管填写生产工单,填写1车间（弯管车间）生产工单；点：提交,1车间主管,1车间-弯管
定制产品生产流程,6,1车间班组长填写派工单,查看1车间生产工单；填写工人个人的派工单；点：提交,1车间班组长,1车间-弯管
定制产品生产流程,7,1车间工人到备料区领料,查看自己的派工单，根据派工单到备料区领料,1车间工人,备料区
定制产品生产流程,8,1车间工人填写领料单,填写领料单；点：提交,1车间工人,备料区
定制产品生产流程,9,1车间工人生产,工人进行弯管生产操作,1车间工人,1车间-弯管
定制产品生产流程,10,1车间工人退料实物送仓库,将生产多余物料退回仓库,1车间工人,仓库
定制产品生产流程,11,仓管员质检确认退料,对1车间退料进行质检确认,仓管员B,仓库
